Starting WeensyOS
VA 0x0 maps to PA 0xffffffffffffffff with PERMS 0x0, 0x0, 0x0
VA 0x1000 maps to PA 0x1000 with PERMS 0x1, 0x2, 0x4
VA 0x2000 maps to PA 0x2000 with PERMS 0x1, 0x2, 0x4
VA 0x3000 maps to PA 0x3000 with PERMS 0x1, 0x2, 0x4
VA 0x4000 maps to PA 0x4000 with PERMS 0x1, 0x2, 0x4
VA 0x5000 maps to PA 0x5000 with PERMS 0x1, 0x2, 0x4
VA 0x6000 maps to PA 0x6000 with PERMS 0x1, 0x2, 0x4
VA 0x7000 maps to PA 0x7000 with PERMS 0x1, 0x2, 0x4
VA 0x8000 maps to PA 0x8000 with PERMS 0x1, 0x2, 0x4
VA 0x9000 maps to PA 0x9000 with PERMS 0x1, 0x2, 0x4
VA 0xa000 maps to PA 0xa000 with PERMS 0x1, 0x2, 0x4
VA 0xb000 maps to PA 0xb000 with PERMS 0x1, 0x2, 0x4
VA 0xc000 maps to PA 0xc000 with PERMS 0x1, 0x2, 0x4
VA 0xd000 maps to PA 0xd000 with PERMS 0x1, 0x2, 0x4
VA 0xe000 maps to PA 0xe000 with PERMS 0x1, 0x2, 0x4
VA 0xf000 maps to PA 0xf000 with PERMS 0x1, 0x2, 0x4
VA 0x10000 maps to PA 0x10000 with PERMS 0x1, 0x2, 0x4
VA 0x11000 maps to PA 0x11000 with PERMS 0x1, 0x2, 0x4
VA 0x12000 maps to PA 0x12000 with PERMS 0x1, 0x2, 0x4
VA 0x13000 maps to PA 0x13000 with PERMS 0x1, 0x2, 0x4
VA 0x14000 maps to PA 0x14000 with PERMS 0x1, 0x2, 0x4
VA 0x15000 maps to PA 0x15000 with PERMS 0x1, 0x2, 0x4
VA 0x16000 maps to PA 0x16000 with PERMS 0x1, 0x2, 0x4
VA 0x17000 maps to PA 0x17000 with PERMS 0x1, 0x2, 0x4
VA 0x18000 maps to PA 0x18000 with PERMS 0x1, 0x2, 0x4
VA 0x19000 maps to PA 0x19000 with PERMS 0x1, 0x2, 0x4
VA 0x1a000 maps to PA 0x1a000 with PERMS 0x1, 0x2, 0x4
VA 0x1b000 maps to PA 0x1b000 with PERMS 0x1, 0x2, 0x4
VA 0x1c000 maps to PA 0x1c000 with PERMS 0x1, 0x2, 0x4
VA 0x1d000 maps to PA 0x1d000 with PERMS 0x1, 0x2, 0x4
VA 0x1e000 maps to PA 0x1e000 with PERMS 0x1, 0x2, 0x4
VA 0x1f000 maps to PA 0x1f000 with PERMS 0x1, 0x2, 0x4
VA 0x20000 maps to PA 0x20000 with PERMS 0x1, 0x2, 0x4
VA 0x21000 maps to PA 0x21000 with PERMS 0x1, 0x2, 0x4
VA 0x22000 maps to PA 0x22000 with PERMS 0x1, 0x2, 0x4
VA 0x23000 maps to PA 0x23000 with PERMS 0x1, 0x2, 0x4
VA 0x24000 maps to PA 0x24000 with PERMS 0x1, 0x2, 0x4
VA 0x25000 maps to PA 0x25000 with PERMS 0x1, 0x2, 0x4
VA 0x26000 maps to PA 0x26000 with PERMS 0x1, 0x2, 0x4
VA 0x27000 maps to PA 0x27000 with PERMS 0x1, 0x2, 0x4
VA 0x28000 maps to PA 0x28000 with PERMS 0x1, 0x2, 0x4
VA 0x29000 maps to PA 0x29000 with PERMS 0x1, 0x2, 0x4
VA 0x2a000 maps to PA 0x2a000 with PERMS 0x1, 0x2, 0x4
VA 0x2b000 maps to PA 0x2b000 with PERMS 0x1, 0x2, 0x4
VA 0x2c000 maps to PA 0x2c000 with PERMS 0x1, 0x2, 0x4
VA 0x2d000 maps to PA 0x2d000 with PERMS 0x1, 0x2, 0x4
VA 0x2e000 maps to PA 0x2e000 with PERMS 0x1, 0x2, 0x4
VA 0x2f000 maps to PA 0x2f000 with PERMS 0x1, 0x2, 0x4
VA 0x30000 maps to PA 0x30000 with PERMS 0x1, 0x2, 0x4
VA 0x31000 maps to PA 0x31000 with PERMS 0x1, 0x2, 0x4
VA 0x32000 maps to PA 0x32000 with PERMS 0x1, 0x2, 0x4
VA 0x33000 maps to PA 0x33000 with PERMS 0x1, 0x2, 0x4
VA 0x34000 maps to PA 0x34000 with PERMS 0x1, 0x2, 0x4
VA 0x35000 maps to PA 0x35000 with PERMS 0x1, 0x2, 0x4
VA 0x36000 maps to PA 0x36000 with PERMS 0x1, 0x2, 0x4
VA 0x37000 maps to PA 0x37000 with PERMS 0x1, 0x2, 0x4
VA 0x38000 maps to PA 0x38000 with PERMS 0x1, 0x2, 0x4
VA 0x39000 maps to PA 0x39000 with PERMS 0x1, 0x2, 0x4
VA 0x3a000 maps to PA 0x3a000 with PERMS 0x1, 0x2, 0x4
VA 0x3b000 maps to PA 0x3b000 with PERMS 0x1, 0x2, 0x4
VA 0x3c000 maps to PA 0x3c000 with PERMS 0x1, 0x2, 0x4
VA 0x3d000 maps to PA 0x3d000 with PERMS 0x1, 0x2, 0x4
VA 0x3e000 maps to PA 0x3e000 with PERMS 0x1, 0x2, 0x4
VA 0x3f000 maps to PA 0x3f000 with PERMS 0x1, 0x2, 0x4
VA 0x40000 maps to PA 0x40000 with PERMS 0x1, 0x2, 0x4
VA 0x41000 maps to PA 0x41000 with PERMS 0x1, 0x2, 0x4
VA 0x42000 maps to PA 0x42000 with PERMS 0x1, 0x2, 0x4
VA 0x43000 maps to PA 0x43000 with PERMS 0x1, 0x2, 0x4
VA 0x44000 maps to PA 0x44000 with PERMS 0x1, 0x2, 0x4
VA 0x45000 maps to PA 0x45000 with PERMS 0x1, 0x2, 0x4
VA 0x46000 maps to PA 0x46000 with PERMS 0x1, 0x2, 0x4
VA 0x47000 maps to PA 0x47000 with PERMS 0x1, 0x2, 0x4
VA 0x48000 maps to PA 0x48000 with PERMS 0x1, 0x2, 0x4
VA 0x49000 maps to PA 0x49000 with PERMS 0x1, 0x2, 0x4
VA 0x4a000 maps to PA 0x4a000 with PERMS 0x1, 0x2, 0x4
VA 0x4b000 maps to PA 0x4b000 with PERMS 0x1, 0x2, 0x4
VA 0x4c000 maps to PA 0x4c000 with PERMS 0x1, 0x2, 0x4
VA 0x4d000 maps to PA 0x4d000 with PERMS 0x1, 0x2, 0x4
VA 0x4e000 maps to PA 0x4e000 with PERMS 0x1, 0x2, 0x4
VA 0x4f000 maps to PA 0x4f000 with PERMS 0x1, 0x2, 0x4
VA 0x50000 maps to PA 0x50000 with PERMS 0x1, 0x2, 0x4
VA 0x51000 maps to PA 0x51000 with PERMS 0x1, 0x2, 0x4
VA 0x52000 maps to PA 0x52000 with PERMS 0x1, 0x2, 0x4
VA 0x53000 maps to PA 0x53000 with PERMS 0x1, 0x2, 0x4
VA 0x54000 maps to PA 0x54000 with PERMS 0x1, 0x2, 0x4
VA 0x55000 maps to PA 0x55000 with PERMS 0x1, 0x2, 0x4
VA 0x56000 maps to PA 0x56000 with PERMS 0x1, 0x2, 0x4
VA 0x57000 maps to PA 0x57000 with PERMS 0x1, 0x2, 0x4
VA 0x58000 maps to PA 0x58000 with PERMS 0x1, 0x2, 0x4
VA 0x59000 maps to PA 0x59000 with PERMS 0x1, 0x2, 0x4
VA 0x5a000 maps to PA 0x5a000 with PERMS 0x1, 0x2, 0x4
VA 0x5b000 maps to PA 0x5b000 with PERMS 0x1, 0x2, 0x4
VA 0x5c000 maps to PA 0x5c000 with PERMS 0x1, 0x2, 0x4
VA 0x5d000 maps to PA 0x5d000 with PERMS 0x1, 0x2, 0x4
VA 0x5e000 maps to PA 0x5e000 with PERMS 0x1, 0x2, 0x4
VA 0x5f000 maps to PA 0x5f000 with PERMS 0x1, 0x2, 0x4
VA 0x60000 maps to PA 0x60000 with PERMS 0x1, 0x2, 0x4
VA 0x61000 maps to PA 0x61000 with PERMS 0x1, 0x2, 0x4
VA 0x62000 maps to PA 0x62000 with PERMS 0x1, 0x2, 0x4
VA 0x63000 maps to PA 0x63000 with PERMS 0x1, 0x2, 0x4
VA 0x64000 maps to PA 0x64000 with PERMS 0x1, 0x2, 0x4
VA 0x65000 maps to PA 0x65000 with PERMS 0x1, 0x2, 0x4
VA 0x66000 maps to PA 0x66000 with PERMS 0x1, 0x2, 0x4
VA 0x67000 maps to PA 0x67000 with PERMS 0x1, 0x2, 0x4
VA 0x68000 maps to PA 0x68000 with PERMS 0x1, 0x2, 0x4
VA 0x69000 maps to PA 0x69000 with PERMS 0x1, 0x2, 0x4
VA 0x6a000 maps to PA 0x6a000 with PERMS 0x1, 0x2, 0x4
VA 0x6b000 maps to PA 0x6b000 with PERMS 0x1, 0x2, 0x4
VA 0x6c000 maps to PA 0x6c000 with PERMS 0x1, 0x2, 0x4
VA 0x6d000 maps to PA 0x6d000 with PERMS 0x1, 0x2, 0x4
VA 0x6e000 maps to PA 0x6e000 with PERMS 0x1, 0x2, 0x4
VA 0x6f000 maps to PA 0x6f000 with PERMS 0x1, 0x2, 0x4
VA 0x70000 maps to PA 0x70000 with PERMS 0x1, 0x2, 0x4
VA 0x71000 maps to PA 0x71000 with PERMS 0x1, 0x2, 0x4
VA 0x72000 maps to PA 0x72000 with PERMS 0x1, 0x2, 0x4
VA 0x73000 maps to PA 0x73000 with PERMS 0x1, 0x2, 0x4
VA 0x74000 maps to PA 0x74000 with PERMS 0x1, 0x2, 0x4
VA 0x75000 maps to PA 0x75000 with PERMS 0x1, 0x2, 0x4
VA 0x76000 maps to PA 0x76000 with PERMS 0x1, 0x2, 0x4
VA 0x77000 maps to PA 0x77000 with PERMS 0x1, 0x2, 0x4
VA 0x78000 maps to PA 0x78000 with PERMS 0x1, 0x2, 0x4
VA 0x79000 maps to PA 0x79000 with PERMS 0x1, 0x2, 0x4
VA 0x7a000 maps to PA 0x7a000 with PERMS 0x1, 0x2, 0x4
VA 0x7b000 maps to PA 0x7b000 with PERMS 0x1, 0x2, 0x4
VA 0x7c000 maps to PA 0x7c000 with PERMS 0x1, 0x2, 0x4
VA 0x7d000 maps to PA 0x7d000 with PERMS 0x1, 0x2, 0x4
VA 0x7e000 maps to PA 0x7e000 with PERMS 0x1, 0x2, 0x4
VA 0x7f000 maps to PA 0x7f000 with PERMS 0x1, 0x2, 0x4
VA 0x80000 maps to PA 0x80000 with PERMS 0x1, 0x2, 0x4
VA 0x81000 maps to PA 0x81000 with PERMS 0x1, 0x2, 0x4
VA 0x82000 maps to PA 0x82000 with PERMS 0x1, 0x2, 0x4
VA 0x83000 maps to PA 0x83000 with PERMS 0x1, 0x2, 0x4
VA 0x84000 maps to PA 0x84000 with PERMS 0x1, 0x2, 0x4
VA 0x85000 maps to PA 0x85000 with PERMS 0x1, 0x2, 0x4
VA 0x86000 maps to PA 0x86000 with PERMS 0x1, 0x2, 0x4
VA 0x87000 maps to PA 0x87000 with PERMS 0x1, 0x2, 0x4
VA 0x88000 maps to PA 0x88000 with PERMS 0x1, 0x2, 0x4
VA 0x89000 maps to PA 0x89000 with PERMS 0x1, 0x2, 0x4
VA 0x8a000 maps to PA 0x8a000 with PERMS 0x1, 0x2, 0x4
VA 0x8b000 maps to PA 0x8b000 with PERMS 0x1, 0x2, 0x4
VA 0x8c000 maps to PA 0x8c000 with PERMS 0x1, 0x2, 0x4
VA 0x8d000 maps to PA 0x8d000 with PERMS 0x1, 0x2, 0x4
VA 0x8e000 maps to PA 0x8e000 with PERMS 0x1, 0x2, 0x4
VA 0x8f000 maps to PA 0x8f000 with PERMS 0x1, 0x2, 0x4
VA 0x90000 maps to PA 0x90000 with PERMS 0x1, 0x2, 0x4
VA 0x91000 maps to PA 0x91000 with PERMS 0x1, 0x2, 0x4
VA 0x92000 maps to PA 0x92000 with PERMS 0x1, 0x2, 0x4
VA 0x93000 maps to PA 0x93000 with PERMS 0x1, 0x2, 0x4
VA 0x94000 maps to PA 0x94000 with PERMS 0x1, 0x2, 0x4
VA 0x95000 maps to PA 0x95000 with PERMS 0x1, 0x2, 0x4
VA 0x96000 maps to PA 0x96000 with PERMS 0x1, 0x2, 0x4
VA 0x97000 maps to PA 0x97000 with PERMS 0x1, 0x2, 0x4
VA 0x98000 maps to PA 0x98000 with PERMS 0x1, 0x2, 0x4
VA 0x99000 maps to PA 0x99000 with PERMS 0x1, 0x2, 0x4
VA 0x9a000 maps to PA 0x9a000 with PERMS 0x1, 0x2, 0x4
VA 0x9b000 maps to PA 0x9b000 with PERMS 0x1, 0x2, 0x4
VA 0x9c000 maps to PA 0x9c000 with PERMS 0x1, 0x2, 0x4
VA 0x9d000 maps to PA 0x9d000 with PERMS 0x1, 0x2, 0x4
VA 0x9e000 maps to PA 0x9e000 with PERMS 0x1, 0x2, 0x4
VA 0x9f000 maps to PA 0x9f000 with PERMS 0x1, 0x2, 0x4
VA 0xa0000 maps to PA 0xa0000 with PERMS 0x1, 0x2, 0x4
VA 0xa1000 maps to PA 0xa1000 with PERMS 0x1, 0x2, 0x4
VA 0xa2000 maps to PA 0xa2000 with PERMS 0x1, 0x2, 0x4
VA 0xa3000 maps to PA 0xa3000 with PERMS 0x1, 0x2, 0x4
VA 0xa4000 maps to PA 0xa4000 with PERMS 0x1, 0x2, 0x4
VA 0xa5000 maps to PA 0xa5000 with PERMS 0x1, 0x2, 0x4
VA 0xa6000 maps to PA 0xa6000 with PERMS 0x1, 0x2, 0x4
VA 0xa7000 maps to PA 0xa7000 with PERMS 0x1, 0x2, 0x4
VA 0xa8000 maps to PA 0xa8000 with PERMS 0x1, 0x2, 0x4
VA 0xa9000 maps to PA 0xa9000 with PERMS 0x1, 0x2, 0x4
VA 0xaa000 maps to PA 0xaa000 with PERMS 0x1, 0x2, 0x4
